Chart Count,Wall Shear Y [ Pa ]
1.34000000e+02, 3.81290698e+00
1.35000000e+02, 3.80482578e+00
1.36000000e+02, 3.79678464e+00
1.37000000e+02, 3.78903675e+00
1.38000000e+02, 3.78128505e+00
1.39000000e+02, 3.77352786e+00
1.40000000e+02, 3.76576662e+00
1.41000000e+02, 3.75792670e+00
1.42000000e+02, 3.74990320e+00
1.43000000e+02, 3.74188900e+00
1.44000000e+02, 3.73388195e+00
1.45000000e+02, 3.72588372e+00
1.46000000e+02, 3.71726108e+00
1.47000000e+02, 3.70779991e+00
1.48000000e+02, 3.69833660e+00
1.49000000e+02, 3.68887138e+00
1.50000000e+02, 3.67940354e+00
1.51000000e+02, 3.67143846e+00
1.52000000e+02, 3.66455984e+00
1.53000000e+02, 3.65767431e+00
1.54000000e+02, 3.65078115e+00
1.55000000e+02, 3.64388132e+00
1.56000000e+02, 3.63589525e+00
1.57000000e+02, 3.62748909e+00
1.58000000e+02, 3.61908722e+00
1.59000000e+02, 3.61068964e+00
1.60000000e+02, 3.60229635e+00
1.61000000e+02, 3.59169722e+00
1.62000000e+02, 3.58074355e+00
1.63000000e+02, 3.56978631e+00
1.64000000e+02, 3.55886412e+00
1.65000000e+02, 3.54792285e+00
1.66000000e+02, 3.53686738e+00
1.67000000e+02, 3.52580285e+00
1.68000000e+02, 3.51472902e+00
1.69000000e+02, 3.50372148e+00
1.70000000e+02, 3.49192739e+00
1.71000000e+02, 3.47641706e+00
1.72000000e+02, 3.46090031e+00
1.73000000e+02, 3.44548869e+00
1.74000000e+02, 3.43000364e+00
1.75000000e+02, 3.41317391e+00
1.76000000e+02, 3.39332438e+00
1.77000000e+02, 3.37347245e+00
1.78000000e+02, 3.35379267e+00
1.79000000e+02, 3.33400059e+00
1.80000000e+02, 3.31215000e+00
1.81000000e+02, 3.28781128e+00
1.82000000e+02, 3.26347542e+00
1.83000000e+02, 3.23935723e+00
1.84000000e+02, 3.21510458e+00
1.85000000e+02, 3.18099046e+00
1.86000000e+02, 3.14057255e+00
1.87000000e+02, 3.10016060e+00
1.88000000e+02, 3.05997086e+00
1.89000000e+02, 3.01964283e+00
1.90000000e+02, 2.95664597e+00
1.91000000e+02, 2.88649821e+00
1.92000000e+02, 2.81648803e+00
1.93000000e+02, 2.74643040e+00
1.94000000e+02, 2.67638397e+00
1.95000000e+02, 2.59600163e+00
1.96000000e+02, 2.51455617e+00
1.97000000e+02, 2.43319654e+00
1.98000000e+02, 2.35181499e+00
1.99000000e+02, 2.29105210e+00


