Chart Count,Pressure [ Pa ]
3.03000000e+02, -1.00177924e+03
3.04000000e+02, -1.00100513e+03
3.05000000e+02, -1.00022327e+03
3.06000000e+02, -9.99441406e+02
3.07000000e+02, -9.98659424e+02
3.08000000e+02, -9.97877563e+02
3.09000000e+02, -9.97094727e+02
3.10000000e+02, -9.96310059e+02
3.11000000e+02, -9.95525513e+02
3.12000000e+02, -9.94740906e+02
3.13000000e+02, -9.93957886e+02
3.14000000e+02, -9.93185486e+02
3.15000000e+02, -9.92420654e+02
3.16000000e+02, -9.91653992e+02
3.17000000e+02, -9.90887329e+02
3.18000000e+02, -9.90126587e+02
3.19000000e+02, -9.89366760e+02
3.20000000e+02, -9.88605591e+02
3.21000000e+02, -9.87843506e+02
3.22000000e+02, -9.87085205e+02
3.23000000e+02, -9.86319336e+02
3.24000000e+02, -9.85553467e+02
3.25000000e+02, -9.84787720e+02
3.26000000e+02, -9.84029053e+02
3.27000000e+02, -9.83274597e+02
3.28000000e+02, -9.82520813e+02
3.29000000e+02, -9.81769104e+02
3.30000000e+02, -9.81018738e+02
3.31000000e+02, -9.80272400e+02
3.32000000e+02, -9.79526001e+02
3.33000000e+02, -9.78779724e+02
3.34000000e+02, -9.78033020e+02
3.35000000e+02, -9.77285889e+02
3.36000000e+02, -9.76534790e+02
3.37000000e+02, -9.75783630e+02
3.38000000e+02, -9.75032593e+02
3.39000000e+02, -9.74281433e+02
3.40000000e+02, -9.73536133e+02
3.41000000e+02, -9.72793579e+02
3.42000000e+02, -9.72051025e+02
3.43000000e+02, -9.71308533e+02
3.44000000e+02, -9.70572327e+02
3.45000000e+02, -9.69839722e+02
3.46000000e+02, -9.69107178e+02
3.47000000e+02, -9.68374634e+02
3.48000000e+02, -9.67639343e+02
3.49000000e+02, -9.66920349e+02
3.50000000e+02, -9.66201660e+02
3.51000000e+02, -9.65483093e+02
3.52000000e+02, -9.64766907e+02
3.53000000e+02, -9.64051025e+02
3.54000000e+02, -9.63331421e+02
3.55000000e+02, -9.62611938e+02
3.56000000e+02, -9.61892273e+02
3.57000000e+02, -9.61170105e+02
3.58000000e+02, -9.60446899e+02
3.59000000e+02, -9.59723694e+02
3.60000000e+02, -9.59000549e+02
3.61000000e+02, -9.58277344e+02
3.62000000e+02, -9.57554321e+02
3.63000000e+02, -9.56831360e+02
3.64000000e+02, -9.56108398e+02
3.65000000e+02, -9.55385498e+02
3.66000000e+02, -9.54662537e+02
3.67000000e+02, -9.53941772e+02
3.68000000e+02, -9.53225342e+02
3.69000000e+02, -9.52508972e+02
3.70000000e+02, -9.51792969e+02
3.71000000e+02, -9.51077698e+02
3.72000000e+02, -9.50364746e+02
3.73000000e+02, -9.49654053e+02
3.74000000e+02, -9.48943298e+02
3.75000000e+02, -9.48232605e+02
3.76000000e+02, -9.47526245e+02
3.77000000e+02, -9.46819824e+02
3.78000000e+02, -9.46112732e+02
3.79000000e+02, -9.45404297e+02
3.80000000e+02, -9.44702698e+02
3.81000000e+02, -9.44003784e+02
3.82000000e+02, -9.43304810e+02
3.83000000e+02, -9.42604736e+02
3.84000000e+02, -9.41904907e+02
3.85000000e+02, -9.41208618e+02
3.86000000e+02, -9.40512817e+02
3.87000000e+02, -9.39817078e+02
3.88000000e+02, -9.39121826e+02
3.89000000e+02, -9.38427246e+02
3.90000000e+02, -9.37732666e+02
3.91000000e+02, -9.37038147e+02
3.92000000e+02, -9.36344238e+02
3.93000000e+02, -9.35652527e+02
3.94000000e+02, -9.34960083e+02
3.95000000e+02, -9.34267456e+02
3.96000000e+02, -9.33574646e+02
3.97000000e+02, -9.32881958e+02
3.98000000e+02, -9.32190430e+02
3.99000000e+02, -9.31504700e+02
4.00000000e+02, -9.30819458e+02
