Chart Count,Wall Shear Y [ Pa ]
9.70000000e+01, -3.23588997e-01
9.80000000e+01, -3.19654167e-01
9.90000000e+01, -3.15846533e-01
1.00000000e+02, -3.12172323e-01
1.01000000e+02, -3.07727903e-01
1.02000000e+02, -3.00108463e-01
1.03000000e+02, -2.92794377e-01
1.04000000e+02, -2.85788506e-01
1.05000000e+02, -2.79090077e-01
1.06000000e+02, -2.71726042e-01
1.07000000e+02, -2.61831343e-01
1.08000000e+02, -2.52594978e-01
1.09000000e+02, -2.44001806e-01
1.10000000e+02, -2.36055493e-01
1.11000000e+02, -2.21961886e-01
1.12000000e+02, -1.91540107e-01
1.13000000e+02, -1.63273871e-01
1.14000000e+02, -1.37106732e-01
1.15000000e+02, -1.13052174e-01
1.16000000e+02, -8.76363516e-02
1.17000000e+02, -5.66490404e-02
1.18000000e+02, -2.82714982e-02
1.19000000e+02, -2.37250328e-03
1.20000000e+02, 2.10145116e-02
1.21000000e+02, 5.18503673e-02
1.22000000e+02, 9.90903974e-02
1.23000000e+02, 1.42695546e-01
1.24000000e+02, 1.82842791e-01
1.25000000e+02, 2.19487086e-01
1.26000000e+02, 2.69742191e-01
1.27000000e+02, 3.45543295e-01
1.28000000e+02, 4.17570770e-01
1.29000000e+02, 4.85824615e-01
1.30000000e+02, 5.50088704e-01
1.31000000e+02, 6.22620225e-01
1.32000000e+02, 7.09768176e-01
1.33000000e+02, 7.94063270e-01
1.34000000e+02, 8.75505567e-01
1.35000000e+02, 9.54094887e-01
1.36000000e+02, 1.05867267e+00
1.37000000e+02, 1.20024562e+00
1.38000000e+02, 1.34190536e+00
1.39000000e+02, 1.48365188e+00
1.40000000e+02, 1.62548530e+00
1.41000000e+02, 1.78259993e+00
1.42000000e+02, 1.95358360e+00
1.43000000e+02, 2.12134886e+00
1.44000000e+02, 2.28549409e+00
1.45000000e+02, 2.44613862e+00
1.46000000e+02, 2.58215189e+00
1.47000000e+02, 2.69765353e+00
1.48000000e+02, 2.81661367e+00
1.49000000e+02, 2.93828440e+00
1.50000000e+02, 3.06289601e+00
1.51000000e+02, 3.17795205e+00
1.52000000e+02, 3.28641534e+00
1.53000000e+02, 3.40094948e+00
1.54000000e+02, 3.52099800e+00
1.55000000e+02, 3.64671922e+00
1.56000000e+02, 3.72879910e+00
1.57000000e+02, 3.77715635e+00
1.58000000e+02, 3.83088660e+00
1.59000000e+02, 3.88977242e+00
1.60000000e+02, 3.95388174e+00
1.61000000e+02, 3.98069644e+00
1.62000000e+02, 3.98076105e+00
1.63000000e+02, 3.98390293e+00
1.64000000e+02, 3.99016333e+00
1.65000000e+02, 3.99944925e+00
1.66000000e+02, 3.99684119e+00
1.67000000e+02, 3.98594141e+00
1.68000000e+02, 3.97586441e+00
1.69000000e+02, 3.96658897e+00
1.70000000e+02, 3.95812106e+00
1.71000000e+02, 3.95152354e+00
1.72000000e+02, 3.94605470e+00
1.73000000e+02, 3.94037056e+00
1.74000000e+02, 3.93447065e+00
1.75000000e+02, 3.92835379e+00
1.76000000e+02, 3.92668653e+00
1.77000000e+02, 3.93821549e+00
1.78000000e+02, 3.94918251e+00
1.79000000e+02, 3.95959520e+00
1.80000000e+02, 3.96945381e+00
1.81000000e+02, 3.97875667e+00
1.82000000e+02, 3.99404550e+00
1.83000000e+02, 4.00933456e+00
1.84000000e+02, 4.02963686e+00
1.85000000e+02, 4.04968405e+00
1.86000000e+02, 4.06987047e+00
1.87000000e+02, 4.09430456e+00
1.88000000e+02, 4.12019348e+00
1.89000000e+02, 4.14590788e+00
1.90000000e+02, 4.17144728e+00
1.91000000e+02, 4.19681072e+00
1.92000000e+02, 4.24278927e+00
1.93000000e+02, 4.31337309e+00
1.94000000e+02, 4.38349009e+00
1.95000000e+02, 4.45313644e+00
1.96000000e+02, 4.52231264e+00
1.97000000e+02, 4.58438826e+00
1.98000000e+02, 4.60001850e+00
1.99000000e+02, 4.61629391e+00


