Chart Count,Wall Shear Y [ Pa ]
1.79000000e+02, 7.62021637e+00
1.80000000e+02, 7.62828255e+00
1.81000000e+02, 7.63478374e+00
1.82000000e+02, 7.64128590e+00
1.83000000e+02, 7.64778709e+00
1.84000000e+02, 7.65428877e+00
1.85000000e+02, 7.66036320e+00
1.86000000e+02, 7.66553879e+00
1.87000000e+02, 7.67071533e+00
1.88000000e+02, 7.67589092e+00
1.89000000e+02, 7.68106651e+00
1.90000000e+02, 7.68571186e+00
1.91000000e+02, 7.68928719e+00
1.92000000e+02, 7.69286203e+00
1.93000000e+02, 7.69643688e+00
1.94000000e+02, 7.70001125e+00
1.95000000e+02, 7.70496321e+00
1.96000000e+02, 7.71259308e+00
1.97000000e+02, 7.72022295e+00
1.98000000e+02, 7.72785234e+00
1.99000000e+02, 7.73548222e+00
2.00000000e+02, 7.73925066e+00
2.01000000e+02, 7.73579264e+00
2.02000000e+02, 7.73233509e+00
2.03000000e+02, 7.72887659e+00
2.04000000e+02, 7.72541904e+00
2.05000000e+02, 7.72823143e+00
2.06000000e+02, 7.74233913e+00
2.07000000e+02, 7.75644732e+00
2.08000000e+02, 7.77055502e+00
2.09000000e+02, 7.78466272e+00
2.10000000e+02, 7.79998302e+00
2.11000000e+02, 7.81740570e+00
2.12000000e+02, 7.83482933e+00
2.13000000e+02, 7.85225153e+00
2.14000000e+02, 7.86967468e+00
2.15000000e+02, 7.88528347e+00
2.16000000e+02, 7.89786005e+00
2.17000000e+02, 7.91043663e+00
2.18000000e+02, 7.92301369e+00
2.19000000e+02, 7.93559027e+00
2.20000000e+02, 7.94272709e+00
2.21000000e+02, 7.94110394e+00
2.22000000e+02, 7.93948078e+00
2.23000000e+02, 7.93785763e+00
2.24000000e+02, 7.93623495e+00
2.25000000e+02, 7.93593359e+00
2.26000000e+02, 7.93768311e+00
2.27000000e+02, 7.93943357e+00
2.28000000e+02, 7.94118357e+00
2.29000000e+02, 7.94293356e+00
2.30000000e+02, 7.95164967e+00
2.31000000e+02, 7.97079372e+00
2.32000000e+02, 7.98993731e+00
2.33000000e+02, 8.00908089e+00
2.34000000e+02, 8.02822399e+00
2.35000000e+02, 8.04250908e+00
2.36000000e+02, 8.04978275e+00
2.37000000e+02, 8.05705452e+00
2.38000000e+02, 8.06432724e+00
2.39000000e+02, 8.07159996e+00
2.40000000e+02, 8.07699490e+00
2.41000000e+02, 8.07977390e+00
2.42000000e+02, 8.08255291e+00
2.43000000e+02, 8.08533096e+00
2.44000000e+02, 8.08810997e+00
2.45000000e+02, 8.09074116e+00
2.46000000e+02, 8.09317112e+00
2.47000000e+02, 8.09560108e+00
2.48000000e+02, 8.09803200e+00
2.49000000e+02, 8.10046291e+00
2.50000000e+02, 8.10761929e+00
2.51000000e+02, 8.12090492e+00
2.52000000e+02, 8.13419151e+00
2.53000000e+02, 8.14747810e+00
2.54000000e+02, 8.16076374e+00
2.55000000e+02, 8.17103863e+00
2.56000000e+02, 8.17754364e+00
2.57000000e+02, 8.18404770e+00
2.58000000e+02, 8.19055271e+00
2.59000000e+02, 8.19705772e+00
2.60000000e+02, 8.20384693e+00
2.61000000e+02, 8.21098042e+00
2.62000000e+02, 8.21811390e+00
2.63000000e+02, 8.22524738e+00
2.64000000e+02, 8.23238087e+00
