Chart Count,Pressure [ Pa ]
7.50000000e+01, -3.54791679e+01
7.60000000e+01, -3.68631287e+01
7.70000000e+01, -3.82445526e+01
7.80000000e+01, -3.97046852e+01
7.90000000e+01, -4.12209625e+01
8.00000000e+01, -4.27298126e+01
8.10000000e+01, -4.43151779e+01
8.20000000e+01, -4.60333138e+01
8.30000000e+01, -4.77506676e+01
8.40000000e+01, -4.94857635e+01
8.50000000e+01, -5.14334908e+01
8.60000000e+01, -5.34102325e+01
8.70000000e+01, -5.53794327e+01
8.80000000e+01, -5.74527512e+01
8.90000000e+01, -5.95840340e+01
9.00000000e+01, -6.17448158e+01
9.10000000e+01, -6.39066696e+01
9.20000000e+01, -6.60671463e+01
9.30000000e+01, -6.82472992e+01
9.40000000e+01, -7.06876755e+01
9.50000000e+01, -7.31319809e+01
9.60000000e+01, -7.55792084e+01
9.70000000e+01, -7.81253052e+01
9.80000000e+01, -8.09296646e+01
9.90000000e+01, -8.37251282e+01
1.00000000e+02, -8.65117264e+01
1.01000000e+02, -8.92410660e+01
1.02000000e+02, -9.22708282e+01
1.03000000e+02, -9.55453644e+01
1.04000000e+02, -9.88078537e+01
1.05000000e+02, -1.02048172e+02
1.06000000e+02, -1.05279221e+02
1.07000000e+02, -1.08877174e+02
1.08000000e+02, -1.12476288e+02
1.09000000e+02, -1.16071281e+02
1.10000000e+02, -1.19662102e+02
1.11000000e+02, -1.23538895e+02
1.12000000e+02, -1.27662689e+02
1.13000000e+02, -1.31785980e+02
1.14000000e+02, -1.35927078e+02
1.15000000e+02, -1.40444977e+02
1.16000000e+02, -1.45188477e+02
1.17000000e+02, -1.49934555e+02
1.18000000e+02, -1.54697678e+02
1.19000000e+02, -1.59982819e+02
1.20000000e+02, -1.65244446e+02
1.21000000e+02, -1.70510834e+02
1.22000000e+02, -1.75999420e+02
1.23000000e+02, -1.81789642e+02
1.24000000e+02, -1.87584381e+02
1.25000000e+02, -1.93525223e+02
1.26000000e+02, -1.99752777e+02
1.27000000e+02, -2.05982880e+02
1.28000000e+02, -2.12214172e+02
1.29000000e+02, -2.19096100e+02
1.30000000e+02, -2.26095093e+02
1.31000000e+02, -2.33125732e+02
1.32000000e+02, -2.40159271e+02
1.33000000e+02, -2.47846664e+02
1.34000000e+02, -2.55953384e+02
1.35000000e+02, -2.64065979e+02
1.36000000e+02, -2.72177429e+02
1.37000000e+02, -2.80291412e+02
1.38000000e+02, -2.89377411e+02
1.39000000e+02, -2.98725769e+02
1.40000000e+02, -3.08139069e+02
1.41000000e+02, -3.17539001e+02
1.42000000e+02, -3.26930481e+02
1.43000000e+02, -3.36846130e+02
1.44000000e+02, -3.47390656e+02
1.45000000e+02, -3.57945740e+02
1.46000000e+02, -3.68599548e+02
1.47000000e+02, -3.79323639e+02
1.48000000e+02, -3.90713654e+02
1.49000000e+02, -4.02833191e+02
1.50000000e+02, -4.14969604e+02
1.51000000e+02, -4.27122864e+02
1.52000000e+02, -4.39216736e+02
1.53000000e+02, -4.51315765e+02
1.54000000e+02, -4.65017883e+02
1.55000000e+02, -4.79117493e+02
1.56000000e+02, -4.93310120e+02
